sample_index,category_id,category,model_id,source_file,status,error,network_inference_ms,lm_optimization_ms,model_total_ms,pointcloud_to_result_ms,file_to_result_ms,render_ms,initial_primitives,optimized_primitives,image_path
1,02691156,airplane,e7c6e2f7c5fd372e8e9091d822257500,data/ShapeNet/02691156/e7c6e2f7c5fd372e8e9091d822257500/pointcloud.npz,success,,5.808099987916648,125.83962496137246,131.6477249492891,138.56775197200477,139.46216204203665,957.539365044795,4,4,images/01_airplane_e7c6e2f7c5fd372e8e9091d822257500.png
2,03211117,display,f5fc954736b06be15fd06491ae919ea3,data/ShapeNet/03211117/f5fc954736b06be15fd06491ae919ea3/pointcloud.npz,success,,5.664972995873541,158.69278699392453,164.35775998979807,168.3935840264894,169.12230098387226,387.1593920048326,2,2,images/02_display_f5fc954736b06be15fd06491ae919ea3.png
3,03001627,chair,f23c1bb951fa8909bc01640b1b5116e7,data/ShapeNet/03001627/f23c1bb951fa8909bc01640b1b5116e7/pointcloud.npz,success,,5.813060968648642,113.03602502448484,118.84908599313349,128.3054249943234,128.87879798654467,1083.4340340225026,6,6,images/03_chair_f23c1bb951fa8909bc01640b1b5116e7.png
4,03001627,chair,e5f381dd81cca6a36a348179d243c2c5,data/ShapeNet/03001627/e5f381dd81cca6a36a348179d243c2c5/pointcloud.npz,success,,5.836180993355811,110.67637801170349,116.5125590050593,125.93748001381755,126.53142801718786,1023.8728650147095,6,6,images/04_chair_e5f381dd81cca6a36a348179d243c2c5.png
5,02958343,car,e73c88359e4f89d5e569325a7a095ac2,data/ShapeNet/02958343/e73c88359e4f89d5e569325a7a095ac2/pointcloud.npz,success,,5.871552973985672,208.29946198500693,214.1710149589926,227.8898329823278,228.48751198034734,1467.5290120067075,9,9,images/05_car_e73c88359e4f89d5e569325a7a095ac2.png
6,02958343,car,d2b847baf4a6d1a5ff1370452e3a0154,data/ShapeNet/02958343/d2b847baf4a6d1a5ff1370452e3a0154/pointcloud.npz,success,,5.910125968512148,107.38124995259568,113.29137592110783,119.96847297996283,120.55787502322346,746.3899870053865,4,4,images/06_car_d2b847baf4a6d1a5ff1370452e3a0154.png
7,02933112,cabinet,d8bf8dcbd5cae04094beb1f48b8b494b,data/ShapeNet/02933112/d8bf8dcbd5cae04094beb1f48b8b494b/pointcloud.npz,success,,5.6252049980685115,107.07744600949809,112.7026510075666,121.03079998632893,121.66653102030978,877.4682190269232,5,5,images/07_cabinet_d8bf8dcbd5cae04094beb1f48b8b494b.png
8,04379243,table,db4f8c9f1c62e421efca4f7cb98e0c29,data/ShapeNet/04379243/db4f8c9f1c62e421efca4f7cb98e0c29/pointcloud.npz,success,,5.625318037346005,107.34532901551574,112.97064705286175,130.85149397375062,131.46725500700995,2028.712444996927,12,12,images/08_table_db4f8c9f1c62e421efca4f7cb98e0c29.png
9,02691156,airplane,ee562cc82d73ab212135f3a0e614f115,data/ShapeNet/02691156/ee562cc82d73ab212135f3a0e614f115/pointcloud.npz,success,,5.746888986323029,108.43108902918175,114.17797801550478,120.88566203601658,121.5094699873589,643.8965999986976,4,4,images/09_airplane_ee562cc82d73ab212135f3a0e614f115.png
10,02691156,airplane,ec9bfc810a015c3a446cb1ee5d43f75f,data/ShapeNet/02691156/ec9bfc810a015c3a446cb1ee5d43f75f/pointcloud.npz,success,,5.703315022401512,231.9180199992843,237.6213350216858,243.20741003612056,243.77586197806522,480.8891660068184,3,3,images/10_airplane_ec9bfc810a015c3a446cb1ee5d43f75f.png
