sample_index,category_id,category,model_id,source_file,status,error,network_inference_ms,lm_optimization_ms,model_total_ms,pointcloud_to_result_ms,file_to_result_ms,render_ms,initial_primitives,optimized_primitives,image_path
11,02958343,car,cdc8453c63ffc13e20f29d4da2b76f7a,data/ShapeNet/02958343/cdc8453c63ffc13e20f29d4da2b76f7a/pointcloud.npz,success,,6.347134010866284,106.84772295644507,113.19485696731135,119.87451504683122,120.48265599878505,707.3832849855535,4,4,images/11_car_cdc8453c63ffc13e20f29d4da2b76f7a.png
12,03001627,chair,e35d7d19dcdc9e5c30e06a011e63236a,data/ShapeNet/03001627/e35d7d19dcdc9e5c30e06a011e63236a/pointcloud.npz,success,,6.614534999243915,108.19012799765915,114.80466299690306,131.3809989951551,131.98715000180528,1840.2026509866118,11,11,images/12_chair_e35d7d19dcdc9e5c30e06a011e63236a.png
13,03001627,chair,ea7e09260babc698983c05814b11dc86,data/ShapeNet/03001627/ea7e09260babc698983c05814b11dc86/pointcloud.npz,success,,5.811501003336161,108.1659040064551,113.97740500979125,123.32630803575739,123.91732400283217,1130.1708669634536,6,6,images/13_chair_ea7e09260babc698983c05814b11dc86.png
14,04401088,telephone,ecbb1c53e881c2b25f4e4793ed432bc1,data/ShapeNet/04401088/ecbb1c53e881c2b25f4e4793ed432bc1/pointcloud.npz,success,,5.558090982958674,107.94389701914042,113.5019880020991,116.2740100407973,116.8902589706704,240.91223999857903,1,1,images/14_telephone_ecbb1c53e881c2b25f4e4793ed432bc1.png
15,02691156,airplane,e8ed294534ba18df4a29fef5d2b2f3d7,data/ShapeNet/02691156/e8ed294534ba18df4a29fef5d2b2f3d7/pointcloud.npz,success,,5.607946019154042,107.02063498320058,112.62858100235462,119.49773505330086,120.09456101804972,736.1049129976891,4,4,images/15_airplane_e8ed294534ba18df4a29fef5d2b2f3d7.png
16,03001627,chair,d504ebe36ddde74cb5e61088d6c054a1,data/ShapeNet/03001627/d504ebe36ddde74cb5e61088d6c054a1/pointcloud.npz,success,,6.21837202925235,106.9209260167554,113.13929804600775,122.90292797842994,123.51420801132917,998.3578610117547,6,6,images/16_chair_d504ebe36ddde74cb5e61088d6c054a1.png
17,04379243,table,da7310bedd8595879daeea1362fbd792,data/ShapeNet/04379243/da7310bedd8595879daeea1362fbd792/pointcloud.npz,success,,6.280870991759002,106.87550599686801,113.15637698862702,136.48091698996723,137.0919659966603,2686.090050963685,16,16,images/17_table_da7310bedd8595879daeea1362fbd792.png
18,03001627,chair,e454cdb43a7118678162dd776d80e71f,data/ShapeNet/03001627/e454cdb43a7118678162dd776d80e71f/pointcloud.npz,success,,6.500106013845652,108.96968003362417,115.46978604746982,124.80864999815822,125.42219000170007,1074.9212200171314,6,6,images/18_chair_e454cdb43a7118678162dd776d80e71f.png
19,04379243,table,e834ef941f7bc9c9e7df9f1005942e3d,data/ShapeNet/04379243/e834ef941f7bc9c9e7df9f1005942e3d/pointcloud.npz,success,,5.575252987910062,107.72515402641147,113.30040701432154,125.58107997756451,126.2065619812347,1355.0145300105214,8,8,images/19_table_e834ef941f7bc9c9e7df9f1005942e3d.png
20,03211117,display,ffc9068c8de1fe46d9869786ff7f6a46,data/ShapeNet/03211117/ffc9068c8de1fe46d9869786ff7f6a46/pointcloud.npz,success,,5.569128959905356,106.49903997546062,112.06816893536597,117.84885899396613,118.4583290014416,601.4068869990297,3,3,images/20_display_ffc9068c8de1fe46d9869786ff7f6a46.png
21,02691156,airplane,d6cc7ffd165de05e2e2de556c136fbc8,data/ShapeNet/02691156/d6cc7ffd165de05e2e2de556c136fbc8/pointcloud.npz,success,,5.740408960264176,107.21659997943789,112.95700893970206,119.81826700503007,120.47268601600081,718.0003419634886,4,4,images/21_airplane_d6cc7ffd165de05e2e2de556c136fbc8.png
22,02958343,car,f3b28c36547e6d3da721c5adce99a0b4,data/ShapeNet/02958343/f3b28c36547e6d3da721c5adce99a0b4/pointcloud.npz,success,,5.887903040274978,106.82056995574385,112.70847299601883,122.36186000518501,122.9816889972426,1099.777334020473,6,6,images/22_car_f3b28c36547e6d3da721c5adce99a0b4.png
23,04379243,table,db9458fd1459982347b1b3e368e511da,data/ShapeNet/04379243/db9458fd1459982347b1b3e368e511da/pointcloud.npz,success,,5.599019001238048,106.77508497610688,112.37410397734493,120.63950800802559,121.26509199151769,885.2912950096652,5,5,images/23_table_db9458fd1459982347b1b3e368e511da.png
24,04090263,rifle,e502392ba0ba05ac683e3750b53385d5,data/ShapeNet/04090263/e502392ba0ba05ac683e3750b53385d5/pointcloud.npz,success,,6.043684959877282,107.15178202372044,113.19546698359773,117.37714300397784,117.99372598761693,358.1762479734607,2,2,images/24_rifle_e502392ba0ba05ac683e3750b53385d5.png
25,03211117,display,ff8418d110a5fd5211ab369e12343c13,data/ShapeNet/03211117/ff8418d110a5fd5211ab369e12343c13/pointcloud.npz,success,,6.174678972456604,106.54801002237946,112.72268899483606,119.4288230035454,120.03714899765328,733.6728390073404,4,4,images/25_display_ff8418d110a5fd5211ab369e12343c13.png
26,02958343,car,f0e7ce98d29eef18d966515d4de0a5fd,data/ShapeNet/02958343/f0e7ce98d29eef18d966515d4de0a5fd/pointcloud.npz,success,,5.9209869941696525,107.12734505068511,113.04833204485476,119.95726200984791,120.56542403297499,813.3902240078896,4,4,images/26_car_f0e7ce98d29eef18d966515d4de0a5fd.png
27,03001627,chair,e12ac2c1c707b7b2f45a7a3d26bcb6ad,data/ShapeNet/03001627/e12ac2c1c707b7b2f45a7a3d26bcb6ad/pointcloud.npz,success,,5.968009994830936,106.60715802805498,112.57516802288592,124.87925699679181,125.50697103142738,1272.4275150103495,8,8,images/27_chair_e12ac2c1c707b7b2f45a7a3d26bcb6ad.png
28,04090263,rifle,dda8e93517cb8c0ac9e18dbb8de06b45,data/ShapeNet/04090263/dda8e93517cb8c0ac9e18dbb8de06b45/pointcloud.npz,success,,6.226094032172114,106.39097704552114,112.61707107769325,228.51076297229156,229.14446500362828,471.4436950162053,3,3,images/28_rifle_dda8e93517cb8c0ac9e18dbb8de06b45.png
29,02958343,car,d28ad2ed7b1ba665b1bb46d2556ba67d,data/ShapeNet/02958343/d28ad2ed7b1ba665b1bb46d2556ba67d/pointcloud.npz,success,,5.883220990654081,106.58154700649902,112.4647679971531,120.94366300152615,121.557203005068,942.8230209741741,5,5,images/29_car_d28ad2ed7b1ba665b1bb46d2556ba67d.png
30,02958343,car,cd34d1a016a5c97e5b7d03c1aa2764f0,data/ShapeNet/02958343/cd34d1a016a5c97e5b7d03c1aa2764f0/pointcloud.npz,success,,5.843649967573583,107.45593998581171,113.2995899533853,120.41755398968235,121.06491799931973,737.8714919905178,4,4,images/30_car_cd34d1a016a5c97e5b7d03c1aa2764f0.png
